MySQL Parameter,PostgreSQL Parameter,Similarity
innodb-buffer-pool-size=#,shared_buffers,0.9186913
innodb-log-buffer-size=#,shared_buffers,0.91793185
replica-max-allowed-packet=#,wal_receiver_timeout,0.90332234
join-buffer-size=#,shared_buffers,0.9015589
max-allowed-packet=#,wal_receiver_timeout,0.89946586
innodb-buffer-pool-size=#,work_mem,0.89787257
max-binlog-cache-size=#,shared_buffers,0.8952799
innodb-log-buffer-size=#,wal_buffers,0.8883939
innodb-buffer-pool-size=#,logical_decoding_work_mem,0.8857392
innodb-log-buffer-size=#,temp_file_limit,0.88417554
join-buffer-size=#,temp_buffers,0.8816861
join-buffer-size=#,work_mem,0.88052094
key-buffer-size=#,work_mem,0.88010883
read-buffer-size=#,shared_buffers,0.87845165
innodb-buffer-pool-size=#,wal_buffers,0.87813455
innodb-adaptive-hash-index-parts[=#],hash_mem_multiplier,0.87809575
innodb-log-buffer-size=#,work_mem,0.8779814
innodb-log-buffer-size=#,wal_keep_size,0.87688863
innodb-thread-concurrency=#,lo_compat_privileges,0.87651664
innodb-log-buffer-size=#,temp_buffers,0.8764521
mysqlx-max-allowed-packet[=#],client_min_messages,0.87642384
binlog-cache-size=#,jit_inline_above_cost,0.8762662
innodb-thread-concurrency=#,archive_command,0.8761164
innodb-thread-concurrency=#,log_autovacuum_min_duration,0.875981
innodb-thread-concurrency=#,restore_command,0.8750423
read-buffer-size=#,temp_buffers,0.87491965
tmp-table-size=#,wal_buffers,0.87357414
max-connections=#,max_worker_processes,0.8724619
replica-max-allowed-packet=#,max_wal_senders,0.8724308
innodb-thread-concurrency=#,hot_standby_feedback,0.8723389
max-binlog-cache-size=#,work_mem,0.87210715
innodb-buffer-pool-size=#,effective_io_concurrency,0.871922
innodb-thread-concurrency=#,syslog_sequence_numbers,0.87111866
innodb-log-buffer-size=#,primary_slot_name,0.87098897
innodb-thread-concurrency=#,promote_trigger_file,0.87084574
slave-max-allowed-packet=#,ssl_passphrase_command_supports_reload,0.8706409
innodb-log-buffer-size=#,event_source,0.87036884
max-binlog-cache-size=#,effective_cache_size,0.8703655
innodb-thread-concurrency=#,temp_buffers,0.8699571
innodb-thread-concurrency=#,recovery_end_command,0.8691014
innodb-thread-concurrency=#,max_slot_wal_keep_size,0.8688537
innodb-log-buffer-size=#,max_files_per_process,0.86874306
innodb-old-blocks-time=#,archive_timeout,0.8678742
innodb-write-io-threads=#,min_dynamic_shared_memory,0.8663939
innodb-thread-concurrency=#,default_transaction_read_only,0.8663008
binlog-cache-size=#,jit_optimize_above_cost,0.86621714
table-open-cache=#,wal_buffers,0.8660053
read-buffer-size=#,wal_buffers,0.8659351
innodb-thread-concurrency=#,max_standby_streaming_delay,0.86575824
innodb-thread-concurrency=#,archive_cleanup_command,0.8656844
innodb-thread-concurrency=#,syslog_facility,0.8655999
innodb-thread-concurrency=#,max_files_per_process,0.8655614
innodb-thread-concurrency=#,commit_siblings,0.86548865
innodb-adaptive-hash-index-parts[=#],track_activity_query_size,0.86475945
key-buffer-size=#,wal_buffers,0.8645742
innodb-thread-concurrency=#,wal_skip_threshold,0.8645478
innodb-read-io-threads=#,min_dynamic_shared_memory,0.8645052
