Parameter,Description
allow_in_place_tablespaces,"Allows tablespaces directly inside pg_tblspc, for testing."
allow_system_table_mods,Allows modifications of the structure of system tables.
application_name,Sets the application name to be reported in statistics and logs.
archive_cleanup_command,Sets the shell command that will be executed at every restart point.
archive_command,Sets the shell command that will be called to archive a WAL file.
archive_mode,Allows archiving of WAL files using archive_command.
archive_timeout,Forces a switch to the next WAL file if a new file has not been started within N seconds.
array_nulls,Enable input of NULL elements in arrays.
authentication_timeout,Sets the maximum allowed time to complete client authentication.
autovacuum,Starts the autovacuum subprocess.
autovacuum_analyze_scale_factor,"Number of tuple inserts, updates, or deletes prior to analyze as a fraction of reltuples."
autovacuum_analyze_threshold,"Minimum number of tuple inserts, updates, or deletes prior to analyze."
autovacuum_freeze_max_age,Age at which to autovacuum a table to prevent transaction ID wraparound.
autovacuum_max_workers,Sets the maximum number of simultaneously running autovacuum worker processes.
autovacuum_multixact_freeze_max_age,Multixact age at which to autovacuum a table to prevent multixact wraparound.
autovacuum_naptime,Time to sleep between autovacuum runs.
autovacuum_vacuum_cost_delay,"Vacuum cost delay in milliseconds, for autovacuum."
autovacuum_vacuum_cost_limit,"Vacuum cost amount available before napping, for autovacuum."
autovacuum_vacuum_insert_scale_factor,Number of tuple inserts prior to vacuum as a fraction of reltuples.
autovacuum_vacuum_insert_threshold,"Minimum number of tuple inserts prior to vacuum, or -1 to disable insert vacuums."
autovacuum_vacuum_scale_factor,Number of tuple updates or deletes prior to vacuum as a fraction of reltuples.
autovacuum_vacuum_threshold,Minimum number of tuple updates or deletes prior to vacuum.
autovacuum_work_mem,Sets the maximum memory to be used by each autovacuum worker process.
backend_flush_after,Number of pages after which previously performed writes are flushed to disk.
backslash_quote,"Sets whether ""'"" is allowed in string literals."
backtrace_functions,Log backtrace for errors in these functions.
bgwriter_delay,Background writer sleep time between rounds.
bgwriter_flush_after,Number of pages after which previously performed writes are flushed to disk.
bgwriter_lru_maxpages,Background writer maximum number of LRU pages to flush per round.
bgwriter_lru_multiplier,Multiple of the average buffer usage to free per round.
block_size,Shows the size of a disk block.
bonjour,Enables advertising the server via Bonjour.
bonjour_name,Sets the Bonjour service name.
bytea_output,Sets the output format for bytea.
check_function_bodies,Check routine bodies during CREATE FUNCTION and CREATE PROCEDURE.
