feature,importance_tps,importance_latency,importance
range_alloc_block_size ,2.92490561221488e-05,0.11254906502561955,0.05628915704087085
query_alloc_block_size ,1.330935482268604e-06,0.00853898603075754,0.004270158483119905
sort_buffer_size ,6.367624543835412e-07,0.006672948955326037,0.00333679285889021
innodb_log_file_size ,2.6512625396469663e-09,0.0005974583042126386,0.00029873047773758916
query_cache_limit ,9.039791520011314e-08,0.000431176844624579,0.00021563362126988955
tmp_table_size ,7.332439696398879e-08,0.0003625976275514113,0.00018133547597418766
key_buffer_size ,2.904448749774952e-08,0.00035896915386133025,0.000179499099174414
innodb_ft_result_cache_limit ,8.748058116185458e-09,0.00027125395379716814,0.00013563135092764216
query_cache_size ,9.95087483678231e-09,0.00020726793778349264,0.00010363894432916471
max_heap_table_size ,9.855458462627268e-08,0.00020487844025128158,0.00010248849741795393
max_binlog_cache_size ,5.996286108759858e-08,0.00020317720228952996,0.00010161858257530878
max_binlog_stmt_cache_size ,5.596204151873551e-08,0.00018761201707411058,9.383398955781466e-05
max_allowed_packet ,2.980373249171221e-08,0.00014762299846138232,7.382640109693702e-05
innodb_buffer_pool_size ,6.772799707549906e-09,0.0001320144622941448,6.601061754692617e-05
innodb_log_buffer_size ,0.0,0.00011574356573010466,5.787178286505233e-05
innodb_online_alter_log_max_size ,3.696106150590996e-08,0.00010304996085812817,5.154346095981704e-05
bulk_insert_buffer_size ,4.031070500464108e-08,7.3838857879256e-05,3.6939584292130324e-05
max_binlog_size ,2.0110900747092412e-08,2.151199541202935e-05,1.0766053156388222e-05
innodb_max_undo_log_size ,2.1498202938152413e-09,1.9075310730344385e-05,9.5387302753191e-06
innodb_ft_total_cache_size ,6.995136977955723e-08,0.0,3.497568488977862e-08
long_query_time ,0.0,0.0,0.0
max_digest_length ,0.0,0.0,0.0
log_slow_admin_statements ,0.0,0.0,0.0
log_queries_not_using_indexes ,0.0,0.0,0.0
back_log ,0.0,0.0,0.0
log_bin_trust_function_creators ,0.0,0.0,0.0
max_error_count ,0.0,0.0,0.0
key_cache_division_limit ,0.0,0.0,0.0
key_cache_block_size ,0.0,0.0,0.0
key_cache_age_threshold ,0.0,0.0,0.0
